uri,"Moses Mendelssohn Zentrum für europäisch-jüdische Studien, Universität Postdam|test01"
/agents/corporate_entities/7332,"Moses Mendelssohn Zentrum für europäisch-jüdische Studien, Universität Postdam|test8"
/agents/corporate_entities/12966,Fortunoff Video Archive for Holocaust Testimonies|
/agents/corporate_entities/6688,"Fundacion ""Memoria del Holocausto""|"
/agents/corporate_entities/6671,Video Archive for Holocaust Testimonies at Yale|
/agents/corporate_entities/7105,"Fortunoff Video Archive for Holocaust Testimonies, Yale University Library|"
/agents/corporate_entities/6714,Témoignages pour mémoire|
/agents/corporate_entities/6807,"Second Generation of Long Island, 1982|"
/agents/corporate_entities/7082,"Fortunoff Video Archive for Holocaust Testimonies, 1991|"
/agents/corporate_entities/7169,"Milan Šimečka Foundation, c1995|"
/agents/corporate_entities/6996,Museum of Jewish Heritage-A Living Memorial to the Holocaust|
/agents/corporate_entities/7391,University of Michigan-Dearborn Survivor Oral History Collection|
/agents/corporate_entities/7387,Stories to Remember|
/agents/corporate_entities/6670,Holocaust Center of the Jewish Federation of the North Shore|
/agents/corporate_entities/6735,Holocaust Human Rights Center of Maine|
/agents/corporate_entities/7036,"Midwest Center for Holocaust Education, Inc,|"
/agents/corporate_entities/7165,"Moses Mendelssohn Zentrum für europaïsch-jüdische Studien, Universität Potsdam|"
/agents/corporate_entities/6689,Midwest Center for Holocaust Education|
/agents/corporate_entities/6871,"Jewish Community Relations Council, Jewish Federation of Southern Arizona|"
/agents/corporate_entities/6657,Baltimore Jewish Council|
/agents/corporate_entities/7115,"Children of Holocaust Survivors, Columbus Chapter|"
/agents/corporate_entities/6786,UCLA Holocaust Documentation Archives|
/agents/corporate_entities/6856,UCLA Documentation Archives|
/agents/corporate_entities/6694,Jewish Community in Belgrade|
/agents/corporate_entities/6724,"Moses Mendelssohn Zentrum für europäisch-jüdische Studien, Universität Potsdam|"
/agents/corporate_entities/6637,Holocaust Education Center and Memorial Museum of Houston|
/agents/corporate_entities/6660,"Midwest Center for Holocaust Education, Inc.|"
/agents/corporate_entities/7071,Holocaust Center of the Jewish Federation on the North Shore|
/agents/corporate_entities/6725,Memorial Center for Holocaust Studies|
/agents/corporate_entities/6787,"Federation of Jewish Agencies of Atlantic County/Stockton State College, Oral History Project|"
/agents/corporate_entities/6904,"Second Generation of Long Island, 1985|"
/agents/corporate_entities/7006,"Fortunoff Video Archive for Holocaust Testimonies, Yale University|"
/agents/corporate_entities/6713,"Federation of Jewish Agencies of Atlantic County/Stockton State College, Holocaust Oral History Project|"
/agents/corporate_entities/6656,"National Council of Jewish Women, Holocaust Archive Project|"
/agents/corporate_entities/6803,Children of the Holocaust-Second Generation of San Antonio|
/agents/corporate_entities/6696,Vancouver Holocaust Centre Society|
/agents/corporate_entities/6792,North Shore Jewish Federation Holocaust Center|
/agents/corporate_entities/6680,United States Holocaust Memorial Museum|
/agents/corporate_entities/6614,Fondation Auschwitz|
/agents/corporate_entities/6643,Center for Holocaust and Genocide Studies|
/agents/corporate_entities/6767,"Second Generation of Long Island, 1983|"
/agents/corporate_entities/6622,Holocaust Education Foundation|
/agents/corporate_entities/6663,Milan Šimečka Foundation|
/agents/corporate_entities/7337,Eva Wasserman Oral History Project|
