uri,id,birth_place,birth_date,language,recording_dates,subject_refs,interviewers,programs
/repositories/14/resources/7948,HVT-8094,,,eng,2003|2003-01-01|,,,
/repositories/14/resources/6435,HVT-2499,,,eng,1993-10-06|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/23640|/subjects/24374|/subjects/39082|/subjects/24343|/subjects/23300|/subjects/32911|/subjects/40600|/subjects/36309|/subjects/31389|/subjects/38068|/subjects/26237|/subjects/25774|/subjects/31794|/subjects/24980|/subjects/32086|/subjects/31129|/subjects/34716|/subjects/33303|/subjects/40065|/subjects/35139|/subjects/35324|,/agents/people/40610|,/agents/corporate_entities/6673|
/repositories/14/resources/6788,HVT-2163,,,fre,1992-02-06|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/29362|/subjects/26684|/subjects/31037|/subjects/39082|/subjects/35577|/subjects/28387|/subjects/24343|/subjects/41071|/subjects/23093|/subjects/41600|/subjects/29604|/subjects/27763|/subjects/24980|/subjects/33303|/subjects/30490|/subjects/40065|/subjects/35943|/subjects/35139|,/agents/people/76652|/agents/people/42866|/agents/people/78212|,/agents/corporate_entities/6714|
/repositories/14/resources/8328,HVT-2533,,,eng,1993-01-26|,/subjects/36885|/subjects/35425|/subjects/31833|/subjects/40356|/subjects/33741|/subjects/24980|/subjects/24675|/subjects/35943|,/agents/people/59723|,/agents/corporate_entities/6633|
/repositories/14/resources/8821,HVT-3288,,,rus,1994-08-10|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24374|/subjects/36693|/subjects/41014|/subjects/25435|/subjects/28584|/subjects/29540|/subjects/23783|/subjects/26402|/subjects/39273|/subjects/27887|/subjects/39358|/subjects/24980|/subjects/32086|/subjects/34716|/subjects/23059|/subjects/30490|/subjects/23017|/subjects/33303|/subjects/35139|/subjects/35943|,/agents/people/41012|,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/8930,HVT-2860,,,eng,1995-03-14|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/36478|/subjects/41390|/subjects/24171|/subjects/39671|/subjects/32739|/subjects/25637|/subjects/36075|/subjects/27845|/subjects/25317|/subjects/38106|/subjects/23385|/subjects/27980|/subjects/23869|/subjects/25745|/subjects/39866|/subjects/28716|/subjects/37924|/subjects/32708|/subjects/34813|/subjects/23149|/subjects/33035|/subjects/37313|/subjects/41396|/subjects/36903|/subjects/32354|/subjects/37967|/subjects/24980|/subjects/32086|/subjects/31129|/subjects/35714|/subjects/35139|,/agents/people/41103|,/agents/corporate_entities/6643|
/repositories/14/resources/7680,HVT-3772,,,heb,1995|1995-03-30|1995-04-07|1995-04-16|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/24374|/subjects/37286|/subjects/25324|/subjects/39082|/subjects/39681|/subjects/23300|/subjects/23330|/subjects/31831|/subjects/38016|/subjects/22405|/subjects/34072|/subjects/32911|/subjects/40600|/subjects/27196|/subjects/28998|/subjects/34847|/subjects/29042|/subjects/39570|/subjects/32207|/subjects/32494|/subjects/29476|/subjects/22416|/subjects/28709|/subjects/22646|/subjects/38724|/subjects/26520|/subjects/24980|/subjects/24543|/subjects/31129|/subjects/30490|/subjects/32086|/subjects/23059|/subjects/23017|/subjects/38250|/subjects/35139|,,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/7220,HVT-3322,,,heb,1993-02-23|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/37286|/subjects/23737|/subjects/39082|/subjects/39681|/subjects/31831|/subjects/23300|/subjects/37775|/subjects/40600|/subjects/30432|/subjects/26497|/subjects/31389|/subjects/29785|/subjects/22416|/subjects/40406|/subjects/23706|/subjects/23869|/subjects/25751|/subjects/31801|/subjects/37574|/subjects/33456|/subjects/31941|/subjects/33470|/subjects/24980|/subjects/31129|/subjects/38912|/subjects/36018|/subjects/30490|/subjects/33303|/subjects/23059|/subjects/29712|/subjects/35139|,/agents/people/40551|/agents/people/57815|,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/9270,HVT-2925,,,yid,1994-04-19|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24374|/subjects/23300|/subjects/39971|/subjects/37867|/subjects/29540|/subjects/23521|/subjects/28325|/subjects/24980|/subjects/32086|/subjects/34716|/subjects/30490|/subjects/23059|/subjects/35139|/subjects/35324|/subjects/26539|,/agents/people/40466|,/agents/corporate_entities/6633|
/repositories/14/resources/6058,HVT-0918,,,eng,1987-04-03|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/37286|/subjects/39082|/subjects/23038|/subjects/23033|/subjects/22109|/subjects/23982|/subjects/27209|/subjects/35214|/subjects/24980|/subjects/31129|/subjects/32086|/subjects/32911|/subjects/35714|/subjects/35139|,/agents/people/40849|/agents/people/40931|,/agents/corporate_entities/6670|
