uri,title,terms,term_types
/subjects/26486,Jawornik (Poland),Jawornik (Poland),geographic
/subjects/34842,Jews -- Latvia -- Rīga,Jews;Latvia;Rīga,topical;geographic;geographic
/subjects/30102,"World War, 1939-1945 -- Conscript labor -- Slovakia","World War, 1939-1945;Conscript labor;Slovakia",topical;topical;geographic
/subjects/38861,Örebro (Sweden),Örebro (Sweden),geographic
/subjects/24842,China,China,geographic
/subjects/41041,Josbach (Germany),Josbach (Germany),geographic
/subjects/32996,Jurançon (France),Jurançon (France),geographic
/subjects/33684,Konjic (Bosnia and Herzegovina),Konjic (Bosnia and Herzegovina),geographic
/subjects/34511,Jews -- Hungary -- Szeged,Jews;Hungary;Szeged,topical;geographic;geographic
/subjects/34004,Haniska (Slovakia),Haniska (Slovakia),geographic
/subjects/36039,Croix-de-Vie (France),Croix-de-Vie (France),geographic
/subjects/31206,Luxembourg,Luxembourg,geographic
/subjects/38924,Stepanki (Ukraine),Stepanki (Ukraine),geographic
/subjects/36469,Pittsburgh (Pa.),Pittsburgh (Pa.),geographic
/subjects/32979,Oster (Ukraine),Oster (Ukraine),geographic
/subjects/34907,Loire (France : Department),Loire (France : Department),geographic
/subjects/29636,Schaerbeek (Belgium),Schaerbeek (Belgium),geographic
/subjects/35615,San Remo (Italy),San Remo (Italy),geographic
/subjects/30417,Banovo Brdo (Serbia),Banovo Brdo (Serbia),geographic
/subjects/24004,"Olbramovice (Benešov, Czech Republic)","Olbramovice (Benešov, Czech Republic)",geographic
/subjects/40345,Presovtse (Ukraine),Presovtse (Ukraine),geographic
/subjects/23391,Pidhaĭt︠s︡i (Ukraine),Pidhaĭt︠s︡i (Ukraine),geographic
/subjects/33542,Sledy (Ukraine),Sledy (Ukraine),geographic
/subjects/30694,Tropovo (Ukraine),Tropovo (Ukraine),geographic
/subjects/24287,Szeged (Hungary),Szeged (Hungary),geographic
/subjects/23542,La Souterraine (France : Canton),La Souterraine (France : Canton),geographic
/subjects/26740,"Vishneva (Minskai︠a︡ voblastsʹ, Belarus)","Vishneva (Minskai︠a︡ voblastsʹ, Belarus)",geographic
/subjects/32353,"World War, 1939-1945 -- Rescue","World War, 1939-1945;Rescue",topical;topical
/subjects/23112,Ostrów Mazowiecka (Poland),Ostrów Mazowiecka (Poland),geographic
/subjects/26310,Goncharovka (Ukraine),Goncharovka (Ukraine),geographic
/subjects/39909,Svidník (Slovakia),Svidník (Slovakia),geographic
/subjects/24268,Trutnov (Czech Republic),Trutnov (Czech Republic),geographic
/subjects/35183,Koš (Slovakia),Koš (Slovakia),geographic
/subjects/32646,Szomolya (Hungary),Szomolya (Hungary),geographic
/subjects/33954,"Rus (Sălaj, Romania)","Rus (Sălaj, Romania)",geographic
/subjects/30381,Jews -- Poland -- Magnuszew,Jews;Poland;Magnuszew,topical;geographic;geographic
/subjects/23057,Rastice (Hungary),Rastice (Hungary),geographic
/subjects/29909,Steinhuder Lake (Germany),Steinhuder Lake (Germany),geographic
/subjects/34638,"Allach-Untermenzing (Munich, Germany)","Allach-Untermenzing (Munich, Germany)",geographic
/subjects/37917,Eindhoven (Netherlands),Eindhoven (Netherlands),geographic
/subjects/40980,"World War, 1939-1945 -- Underground movements -- Poland -- Songs and music","World War, 1939-1945;Underground movements;Poland;Songs and music",topical;topical;geographic;genre_form
/subjects/34792,Roz︠h︡yshche (Ukraine),Roz︠h︡yshche (Ukraine),geographic
/subjects/34268,Viešintos (Lithuania),Viešintos (Lithuania),geographic
/subjects/22646,Paris (France),Paris (France),geographic
/subjects/27690,České Budějovice (Czech Republic),České Budějovice (Czech Republic),geographic
/subjects/26982,Lʹviv (Ukraine),Lʹviv (Ukraine),geographic
/subjects/41016,Montmorency (France),Montmorency (France),geographic
/subjects/24815,Vișeu de Sus (Romania),Vișeu de Sus (Romania),geographic
/subjects/26081,Lonjsko Polje (Croatia),Lonjsko Polje (Croatia),geographic
/subjects/35357,Mondorf-les-Bains (Luxembourg),Mondorf-les-Bains (Luxembourg),geographic
/subjects/29724,Aid by non-Romanies,Aid by non-Romanies,topical
/subjects/28836,Epsom (England),Epsom (England),geographic
/subjects/24116,Ural Mountains (Russia),Ural Mountains (Russia),geographic
/subjects/24403,"Giessen (Hesse, Germany)","Giessen (Hesse, Germany)",geographic
/subjects/23796,Farghona (Uzbekistan),Farghona (Uzbekistan),geographic
/subjects/26594,Orphanages -- England,Orphanages;England,topical;geographic
/subjects/30913,Naraïv (Ukraine),Naraïv (Ukraine),geographic
/subjects/31601,"Prokocim (Kraków, Poland)","Prokocim (Kraków, Poland)",geographic
/subjects/39231,Pilica (Poland),Pilica (Poland),geographic
/subjects/28420,Wahrenholz (Germany),Wahrenholz (Germany),geographic
/subjects/25642,Ostrava (Czech Republic),Ostrava (Czech Republic),geographic
/subjects/22187,Orphanages -- Soviet Union,Orphanages;Soviet Union,topical;geographic
/subjects/27385,Koumariá (Greece),Koumariá (Greece),geographic
/subjects/28070,Filakovo (Slovakia),Filakovo (Slovakia),geographic
/subjects/32884,Harz Mountains (Germany),Harz Mountains (Germany),geographic
/subjects/40191,Agde (France),Agde (France),geographic
/subjects/30769,Le Mans (France),Le Mans (France),geographic
/subjects/29548,I͡Enakii͡eve (Ukraine),I͡Enakii͡eve (Ukraine),geographic
/subjects/37556,Itzehoe (Germany),Itzehoe (Germany),geographic
/subjects/25992,Będzin (Poland),Będzin (Poland),geographic
/subjects/23145,Concentration camps -- Hospitals,Concentration camps;Hospitals,topical;topical
/subjects/25838,Oostakker (Belgium),Oostakker (Belgium),geographic
/subjects/29118,Adoptive parents,Adoptive parents,topical
/subjects/23515,Vendoeuvres (France),Vendoeuvres (France),geographic
/subjects/39548,Le Bourg-d'Oisans (France),Le Bourg-d'Oisans (France),geographic
/subjects/28359,Jews -- China -- Shanghai,Jews;China;Shanghai,topical;geographic;geographic
/subjects/39118,Ghemme (Italy),Ghemme (Italy),geographic
/subjects/33515,Dordogne (France),Dordogne (France),geographic
/subjects/31528,Marijampolė (Lithuania),Marijampolė (Lithuania),geographic
/subjects/28709,Trets (France),Trets (France),geographic
/subjects/27413,Ti︠a︡chiv (Ukraine),Ti︠a︡chiv (Ukraine),geographic
/subjects/36652,Meldorf (Germany),Meldorf (Germany),geographic
/subjects/23000,Jews -- Ukraine -- Mohyliv-Podilʹsʹkyĭ,Jews;Ukraine;Mohyliv-Podilʹsʹkyĭ,topical;geographic;geographic
/subjects/26202,Vilar Formoso (Portugal),Vilar Formoso (Portugal),geographic
/subjects/32611,Koret︠s︡ʹ (Ukraine),Koret︠s︡ʹ (Ukraine),geographic
/subjects/31894,Skawa (Poland),Skawa (Poland),geographic
/subjects/24395,Bedford (England),Bedford (England),geographic
/subjects/23450,Wschowa (Poland),Wschowa (Poland),geographic
/subjects/26652,Famagusta (Cyprus),Famagusta (Cyprus),geographic
/subjects/38123,Bodrogkeresztúr (Hungary),Bodrogkeresztúr (Hungary),geographic
/subjects/28820,Sopron (Hungary),Sopron (Hungary),geographic
/subjects/29732,Hundsfeld (Germany),Hundsfeld (Germany),geographic
/subjects/23295,Flehingen (Germany),Flehingen (Germany),geographic
/subjects/29698,Cambridge (England),Cambridge (England),geographic
/subjects/29362,Zionists,Zionists,topical
/subjects/32484,Aubenas (France),Aubenas (France),geographic
/subjects/26097,Jews -- Poland -- Łuków (Siedlce),Jews;Poland;Łuków (Siedlce),topical;geographic;geographic
/subjects/24803,Jews -- Poland -- Zamość,Jews;Poland;Zamość,topical;geographic;geographic
/subjects/39732,Jews -- Belarus -- Mir,Jews;Belarus;Mir,topical;geographic;geographic
/subjects/38820,"Tann (Fulda, Germany)","Tann (Fulda, Germany)",geographic
/subjects/31302,Ludwigshafen am Rhein (Germany),Ludwigshafen am Rhein (Germany),geographic
/subjects/28123,Bilhorod-Dnistrovsʹkyĭ (Ukraine),Bilhorod-Dnistrovsʹkyĭ (Ukraine),geographic
/subjects/39362,Icking (Germany),Icking (Germany),geographic
/subjects/33295,Jews -- Poland -- Piotrków Trybunalski,Jews;Poland;Piotrków Trybunalski,topical;geographic;geographic
/subjects/36078,Dúbravy (Slovakia),Dúbravy (Slovakia),geographic
/subjects/34045,"Seesen (Lower Saxony, Germany)","Seesen (Lower Saxony, Germany)",geographic
/subjects/28066,Manila (Philippines),Manila (Philippines),geographic
/subjects/41145,Équilly (France),Équilly (France),geographic
/subjects/39677,Bredene (Belgium),Bredene (Belgium),geographic
/subjects/38965,Mazamet (France),Mazamet (France),geographic
/subjects/31247,Jews -- Belarus -- Mahili︠o︡ŭ,Jews;Belarus;Mahili︠o︡ŭ,topical;geographic;geographic
/subjects/34415,Castaways,Castaways,topical
/subjects/25204,Izi︠u︡m (Ukraine),Izi︠u︡m (Ukraine),geographic
/subjects/27239,Opava (Czech Republic),Opava (Czech Republic),geographic
/subjects/28965,"Chełm (Lublin, Poland)","Chełm (Lublin, Poland)",geographic
/subjects/29677,United States,United States,geographic
/subjects/34946,"Parczew (Biała Podlaska, Poland)","Parczew (Biała Podlaska, Poland)",geographic
/subjects/38066,Graviá (Greece),Graviá (Greece),geographic
/subjects/23780,Göppingen (Germany),Göppingen (Germany),geographic
/subjects/37239,Wiślica (Poland),Wiślica (Poland),geographic
/subjects/27110,Săpînța (Romania),Săpînța (Romania),geographic
/subjects/22742,L'Isle-Jourdain (France),L'Isle-Jourdain (France),geographic
/subjects/23850,Gdansk (Poland),Gdansk (Poland),geographic
/subjects/36351,Borneo,Borneo,geographic
/subjects/33153,"World War, 1939-1945 -- Prisoners and prisons, British","World War, 1939-1945;Prisoners and prisons, British",topical;topical
/subjects/23503,Livorno (Italy),Livorno (Italy),geographic
/subjects/30285,Priests,Priests,topical
/subjects/35087,Makrakómi (Greece),Makrakómi (Greece),geographic
/subjects/32742,Heemstede (Netherlands),Heemstede (Netherlands),geographic
/subjects/40187,Zabłudów (Poland),Zabłudów (Poland),geographic
/subjects/32257,"Montfaucon (Auvergne, France)","Montfaucon (Auvergne, France)",geographic
/subjects/26644,Aurillac (France),Aurillac (France),geographic
/subjects/27956,Šaštín (Slovakia),Šaštín (Slovakia),geographic
/subjects/24383,Postar effects,Postar effects,topical
/subjects/35068,"World War, 1939-1945 -- Participation, Lithuanian","World War, 1939-1945;Participation, Lithuanian",topical;topical
/subjects/30790,"Zehlendorf (Berlin, Germany)","Zehlendorf (Berlin, Germany)",geographic
/subjects/31928,Aliens -- France,Aliens;France,topical;geographic
/subjects/33915,Romanies -- Czech Republic -- History -- 20th Century,Romanies;Czech Republic;History;20th Century,topical;geographic;topical;temporal
/subjects/40538,Thun (Switzerland),Thun (Switzerland),geographic
/subjects/35438,Svarichov,Svarichov,geographic
/subjects/33446,Jews -- Serbia -- Subotica,Jews;Serbia;Subotica,topical;geographic;geographic
/subjects/41283,Kyrgyzstan,Kyrgyzstan,geographic
/subjects/31181,Mashhad (Iran),Mashhad (Iran),geographic
/subjects/33016,Germans -- Czech Republic -- Sudetenland -- History,Germans;Czech Republic;Sudetenland;History,topical;geographic;geographic;topical
/subjects/27405,Balatonboglár (Hungary),Balatonboglár (Hungary),geographic
/subjects/34229,Jews -- Belarus -- Iŭe,Jews;Belarus;Iŭe,topical;geographic;geographic
/subjects/22129,Babaeski (Turkey),Babaeski (Turkey),geographic
/subjects/39335,Jews -- Poland -- Tluste,Jews;Poland;Tluste,topical;geographic;geographic
/subjects/33692,Trials (Germany),Trials (Germany),topical
/subjects/32980,"World War, 1939-1945 -- Personal narratives, Polish","World War, 1939-1945;Personal narratives, Polish",topical;genre_form
/subjects/22579,"Jabłonna (Warsaw, Poland)","Jabłonna (Warsaw, Poland)",geographic
/subjects/39765,"Końskie (Województwo Świętokrzyskie, Poland)","Końskie (Województwo Świętokrzyskie, Poland)",geographic
/subjects/38877,Za̜bkowice Śla̜skie (Poland),Za̜bkowice Śla̜skie (Poland),geographic
/subjects/35316,Jablonec nad Nisou (Czech Republic),Jablonec nad Nisou (Czech Republic),geographic
/subjects/35746,Kostolné Moravce (Slovakia),Kostolné Moravce (Slovakia),geographic
/subjects/28877,"Kuzʹmyno (Zakarpatsʹka oblastʹ, Ukraine)","Kuzʹmyno (Zakarpatsʹka oblastʹ, Ukraine)",geographic
/subjects/29765,Caldas da Rainha (Portugal),Caldas da Rainha (Portugal),geographic
/subjects/34854,Jews -- Poland -- Ciechanów,Jews;Poland;Ciechanów,topical;geographic;geographic
/subjects/23368,Maastricht (Netherlands),Maastricht (Netherlands),geographic
/subjects/37281,Staphorst (Netherlands),Staphorst (Netherlands),geographic
/subjects/35253,Grodków (Poland),Grodków (Poland),geographic
/subjects/26185,Sandžak (Serbia and Montenegro : Region),Sandžak (Serbia and Montenegro : Region),geographic
/subjects/38031,Zvolen (Slovakia),Zvolen (Slovakia),geographic
/subjects/35603,Tanners,Tanners,occupation
/subjects/22596,Aunts,Aunts,topical
/subjects/30952,Port Said (Egypt),Port Said (Egypt),geographic
/subjects/34442,Šumperk (Czech Republic),Šumperk (Czech Republic),geographic
/subjects/26886,Kozanē (Greece),Kozanē (Greece),geographic
/subjects/27794,Csepel Island (Hungary),Csepel Island (Hungary),geographic
/subjects/24911,Châteauroux (France),Châteauroux (France),geographic
